Review,Sentiment,Cleaned_Review,Sentiment_Label,Review_Length,Word_Count
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,Negative,84,18
Doesn't hold charge.,0,doesnt hold charge,Negative,18,3
"This is a simple little phone to use, but the breakage is unacceptible.",0,this is a simple little phone to use but the breakage is unacceptible,Negative,69,13
This product is ideal for people like me whose ears are very sensitive.,1,this product is ideal for people like me whose ears are very sensitive,Positive,70,13
It is unusable in a moving car at freeway speed.,0,it is unusable in a moving car at freeway speed,Negative,47,10
I have two more years left in this contract and I hate this phone.,0,i have two more years left in this contract and i hate this phone,Negative,65,14
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,Positive,103,19
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,you need at least mins to get to your phone book from the time you first turn on the phonebattery life is short,Negative,111,23
It has kept up very well.,1,it has kept up very well,Positive,24,6
Poor Talk Time Performance.,0,poor talk time performance,Negative,26,4
The case is great and works fine with the 680.,1,the case is great and works fine with the,Positive,41,9
worthless product.,0,worthless product,Negative,17,2
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,it has a great camera thats mp and the pics are nice and clear with great picture quality,Positive,89,18
I was not impressed by this product.,0,i was not impressed by this product,Negative,35,7
Nice headset priced right.,1,nice headset priced right,Positive,25,4
I only hear garbage for audio.,0,i only hear garbage for audio,Negative,29,6
Excellent bluetooth headset.,1,excellent bluetooth headset,Positive,27,3
It has all the features I want,1,it has all the features i want,Positive,30,7
Who in their right mind is gonna buy this battery?.,0,who in their right mind is gonna buy this battery,Negative,49,10
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,after arguing with verizon regarding the dropped calls we returned the phones after two days,Negative,92,15
This case seems well made.,1,this case seems well made,Positive,25,5
Disappointed with battery.,0,disappointed with battery,Negative,25,3
Not loud enough and doesn't turn on like it should.,0,not loud enough and doesnt turn on like it should,Negative,49,10
good protection and does not make phone too bulky.,1,good protection and does not make phone too bulky,Positive,49,9
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,a usable keyboard actually turns a pda into a realworld useful machine instead of just a neat gadget,Positive,100,18
This phone is pretty sturdy and I've never had any large problems with it.,1,this phone is pretty sturdy and ive never had any large problems with it,Positive,72,14
I love this thing!,1,i love this thing,Positive,17,4
Everything about it is fine and reasonable for the price i.e.,1,everything about it is fine and reasonable for the price ie,Positive,59,11
VERY DISAPPOINTED.,0,very disappointed,Negative,17,2
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,i even dropped this phone into a stream and it was submerged for seconds and it still works great,Positive,97,19
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,i have been very happy with the and have had no complaints from any one regarding my sound quality on their end,Positive,111,22
The buttons for on and off are bad.,0,the buttons for on and off are bad,Negative,34,8
Essentially you can forget Microsoft's tech support.,0,essentially you can forget microsofts tech support,Negative,50,7
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,i really recommend this faceplates since it looks very nice elegant and cool,Positive,76,13
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,these headphones were a great find and i think they are perhaps the best purchase ive made in the last several years seriously,Positive,126,23
Buy a different phone - but not this.,0,buy a different phone but not this,Negative,34,7
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,you have to hold the phone at a particular angle for the other party to hear you clearly,Negative,88,18
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,the one big drawback of the mp player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,Negative,146,30
"A week later after I activated it, it suddenly died.",0,a week later after i activated it it suddenly died,Negative,50,10
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,Positive,102,18
Great for iPODs too.,1,great for ipods too,Positive,19,4
This device is great in several situations:1.),1,this device is great in several situations,Positive,42,7
Mic Doesn't work.,0,mic doesnt work,Negative,15,3
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,even in my bmw series which is fairly quiet i have trouble hearing what the other person is saying,Negative,98,19
Great choice!,1,great choice,Positive,12,2
Nice docking station for home or work.,1,nice docking station for home or work,Positive,37,7
This is a beautiful phone.,1,this is a beautiful phone,Positive,25,5
Love this product.,1,love this product,Positive,17,3
Do Not Buy for D807...wrongly advertised for D807.,0,do not buy for dwrongly advertised for d,Negative,40,8
This is a great little item.,1,this is a great little item,Positive,27,6
"I love this phone , It is very handy and has a lot of features .",1,i love this phone it is very handy and has a lot of features,Positive,60,14
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,i purchased this and within days it was no longer working,Negative,57,11
I wear it everyday and it holds up very well.,1,i wear it everyday and it holds up very well,Positive,44,10
Not a good bargain.,0,not a good bargain,Negative,18,4
"Well packaged, arrived on time, and works as intended.",1,well packaged arrived on time and works as intended,Positive,51,9
The battery runs down quickly.,0,the battery runs down quickly,Negative,29,5
"This item worked great, but it broke after 6 months of use.",0,this item worked great but it broke after months of use,Negative,55,11
The headsets are easy to use and everyone loves them.,1,the headsets are easy to use and everyone loves them,Positive,52,10
This phone works great.,1,this phone works great,Positive,22,4
The construction of the headsets is poor.,0,the construction of the headsets is poor,Negative,40,7
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,product was excellent and works better than the verizon one and boy was it cheaper,Positive,82,15
The phone loads super!,1,the phone loads super,Positive,21,4
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,Negative,123,26
Made very sturdy.,1,made very sturdy,Positive,16,3
Worked great!.,1,worked great,Positive,12,2
The ear buds only play music in one ear.,0,the ear buds only play music in one ear,Negative,39,9
Dont waste your money...,0,dont waste your money,Negative,21,4
Will order from them again!,1,will order from them again,Positive,26,5
If you plan to use this in a car forget about it.,0,if you plan to use this in a car forget about it,Negative,48,12
I found this product to be waaay too big.,0,i found this product to be waaay too big,Negative,40,9
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,best ive found so far ive tried other bluetooths and this one has the best quality for both me and the listener as well as ease of using,Positive,136,28
I'm very disappointed with my decision.,0,im very disappointed with my decision,Negative,37,6
Integrated seamlessly with the Motorola RAZR phone.,1,integrated seamlessly with the motorola razr phone,Positive,50,7
"Buyer Beware, you could flush money right down the toilet.",0,buyer beware you could flush money right down the toilet,Negative,56,10
Definitely a bargain.,1,definitely a bargain,Positive,20,3
The price was very good and with the free shipping and all it was a good purchase.,1,the price was very good and with the free shipping and all it was a good purchase,Positive,81,17
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,i received my supposedly new motorola and apparently there was not a match between the phone and the charger,Negative,108,19
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,prosgood camera very nice pictures also has cool styles like black and white and more,Positive,85,15
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,thats a huge design flaw unless im not using it correctly which i dont think is the case,Negative,88,18
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,i love my headset my jabra bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,Positive,119,23
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,the camera although rated at an impressive megapixels renders images that fall well below expectations of such a relatively high resolution,Negative,139,21
I purcashed this for the car charger and it does not work.,0,i purcashed this for the car charger and it does not work,Negative,57,12
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me,Positive,110,24
This phone is slim and light and the display is beautiful.,1,this phone is slim and light and the display is beautiful,Positive,57,11
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,Positive,142,28
"Great product, fast shipping!.",1,great product fast shipping,Positive,27,4
Absolutely great.,1,absolutely great,Positive,16,2
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,Positive,94,17
i got this phone around the end of may and i'm completely unhappy with it.,0,i got this phone around the end of may and im completely unhappy with it,Negative,72,15
It is very comfortable on the ear.,1,it is very comfortable on the ear,Positive,33,7
It has been a winner for us.,1,it has been a winner for us,Positive,27,7
)Setup couldn't have been simpler.,1,setup couldnt have been simpler,Positive,31,5
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,ive tried several different earpieces for my cell phone and this jabra one is the first one ive found that fits my ear comfortably,Positive,130,24
Could not get strong enough signal.,0,could not get strong enough signal,Negative,34,6
Iam very pleased with my purchase.,1,iam very pleased with my purchase,Positive,33,6
Bad Quality.,0,bad quality,Negative,11,2
Gets the job done.,1,gets the job done,Positive,17,4
Great audio!.,1,great audio,Positive,11,2
Basically the service was very bad.,0,basically the service was very bad,Negative,34,6
it did not work in my cell phone plug i am very up set with the charger!.,0,it did not work in my cell phone plug i am very up set with the charger,Negative,71,17
"I've only had my bluetooth for a few weeks, but I really like it.",1,ive only had my bluetooth for a few weeks but i really like it,Positive,62,14
The BT headset was such a disapoinment.,0,the bt headset was such a disapoinment,Negative,38,7
It is so small and you don't even realize that it is there after a while of getting used to it.,1,it is so small and you dont even realize that it is there after a while of getting used to it,Positive,93,21
The accompanied software is almost brilliant.,1,the accompanied software is almost brilliant,Positive,44,6
Headset works great & was packaged nicely to avoid any damage.,1,headset works great was packaged nicely to avoid any damage,Positive,59,10
!I definitly recommend!!,1,i definitly recommend,Positive,21,3
Buyer--Be Very Careful!!!!!.,0,buyerbe very careful,Negative,20,3
The majority of the Logitech earbud headsets failed.,0,the majority of the logitech earbud headsets failed,Negative,51,8
Very good stuff for the price.,1,very good stuff for the price,Positive,29,6
My headset works just peachy-keen.,1,my headset works just peachykeen,Positive,32,5
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,in my house i was getting dropped coverage upstairs and no coverage in my basement,Negative,82,15
Voice recognition is tremendous!,1,voice recognition is tremendous,Positive,31,4
What a waste.,0,what a waste,Negative,12,3
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,during several different minute calls i experienced drops and it was in an area that had bars,Negative,93,17
I was not happy with this item.,0,i was not happy with this item,Negative,30,7
very disappointed.,0,very disappointed,Negative,17,2
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,the phone takes forever to charge like to hours literally,Negative,57,10
I got this phone on reccomendation from a relative and I'm glad I did.,1,i got this phone on reccomendation from a relative and im glad i did,Positive,68,14
What a waste of time!,0,what a waste of time,Negative,20,5
Its reception is very very poor.,0,its reception is very very poor,Negative,31,6
Items stated as included from the description ARE NOT INCLUDED.,0,items stated as included from the description are not included,Negative,62,10
"After 3 months, screen just went black all of a sudden.",0,after months screen just went black all of a sudden,Negative,51,10
I Was Hoping for More.,0,i was hoping for more,Negative,21,5
"Audio Quality is poor, very poor.",0,audio quality is poor very poor,Negative,31,6
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,i had absolutely no problem with this headset linking to my blackberry curve,Positive,76,13
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,i know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellwell this one works great,Positive,116,21
I've bought $5 wired headphones that sound better than these.,0,ive bought wired headphones that sound better than these,Negative,56,9
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,Positive,131,23
"Nice quality build, unlike some cheap s*** out there.",1,nice quality build unlike some cheap s out there,Positive,48,9
This item is fantastic and works perfectly!,1,this item is fantastic and works perfectly,Positive,42,7
And I just love the colors!,1,and i just love the colors,Positive,26,6
W810i is just SUPERB.,1,wi is just superb,Positive,17,4
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,all i can do is whine on the internet so here it goesthe more i use the thing the less i like it,Negative,96,23
Great charger.,1,great charger,Positive,13,2
This is essentially a communications tool that does not communicate.,0,this is essentially a communications tool that does not communicate,Negative,67,10
Works like a charm; it work the same as the one I got with the phone.,1,works like a charm it work the same as the one i got with the phone,Positive,67,16
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,i still maintain that monkeys shouldnt make headphones we just obviously dont share enough dna to copy the design over to humans,Negative,128,22
Great Value.,1,great value,Positive,11,2
Doesn't work at all.. I bougth it for my L7c and its not working.,0,doesnt work at all i bougth it for my lc and its not working,Negative,60,14
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,the look of it is very sharp and the screen is nice and clear with great graphics,Positive,81,17
doesn't last long.,0,doesnt last long,Negative,16,3
One thing I hate is the mode set button at the side.,0,one thing i hate is the mode set button at the side,Negative,51,12
EXCELLENT SERVICE!!!!!!!!.,1,excellent service,Positive,17,2
Thank you for wasting my money.,0,thank you for wasting my money,Negative,30,6
How can that be?The audio quality is poor.,0,how can that bethe audio quality is poor,Negative,40,8
The iGo chargers and tips are really great.,1,the igo chargers and tips are really great,Positive,42,8
The file browser offers all the options that one needs.Handsfree is great.,1,the file browser offers all the options that one needshandsfree is great,Positive,72,12
Superb Phone on a Great Network.,1,superb phone on a great network,Positive,31,6
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,i connected my wifes bluetoothmotorola hs to my phone and it worked like a charm whether the phone was in my pocket or the case,Positive,127,25
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,i put the latest os on it vg and it now likes to slow to a crawl and lock up every once in a while,Negative,98,25
It only recognizes the Phone as its storage device.,0,it only recognizes the phone as its storage device,Negative,50,9
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,if you like a loud buzzing to override all your conversations then this phone is for you,Negative,88,17
Don't buy this product.,0,dont buy this product,Negative,21,4
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,Negative,107,21
The sound quality is good and functionality is awesome.,1,the sound quality is good and functionality is awesome,Positive,54,9
"I have this phone and it is a thorn in my side, I really abhor it.",0,i have this phone and it is a thorn in my side i really abhor it,Negative,64,16
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,i recently had problems where i could not stay connected for more than minutes before being disconnected,Negative,104,17
Incredible!.,1,incredible,Positive,10,1
Design Flaw?.,0,design flaw,Negative,11,2
Great phone!.,1,great phone,Positive,11,2
Waste of 13 bucks.,0,waste of bucks,Negative,14,3
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then im lost,Negative,121,24
The replacement died in a few weeks.,0,the replacement died in a few weeks,Negative,35,7
Any ring tone..Overall good phone to buy..,1,any ring toneoverall good phone to buy,Positive,38,7
Lately they have been extremely nice and helpful on the phone.,1,lately they have been extremely nice and helpful on the phone,Positive,61,11
I have had problems wit hit dropping signal and more.,0,i have had problems wit hit dropping signal and more,Negative,52,10
Not impressed.,0,not impressed,Negative,13,2
"Light weight, I hardly notice it is there.",1,light weight i hardly notice it is there,Positive,40,8
You'll love how thin it is.,1,youll love how thin it is,Positive,25,6
Bad Choice.,0,bad choice,Negative,10,2
The pleather case doesn't fit.,0,the pleather case doesnt fit,Negative,28,5
"useless phone, simply deaf.",0,useless phone simply deaf,Negative,25,4
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,the color is even prettier than i thought it would be and the graphics are incredibly sharp,Positive,91,17
All in all I think it was a good investment.,1,all in all i think it was a good investment,Positive,43,10
It makes very strange ticking noises before it ends the call.,0,it makes very strange ticking noises before it ends the call,Negative,60,11
The best electronics of the available FM Transmitters.,1,the best electronics of the available fm transmitters,Positive,53,8
Battery lasts only a few hours.,0,battery lasts only a few hours,Negative,30,6
"great headset, very impressed - H500.",1,great headset very impressed h,Positive,30,5
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,the mega pixel camera being a part of a phone is reasonably good,Positive,64,13
I've had this for nearly 2 years and it has worked great for me.,1,ive had this for nearly years and it has worked great for me,Positive,60,13
Good transmit audio.,1,good transmit audio,Positive,19,3
We are sending it back.,0,we are sending it back,Negative,22,5
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,Negative,141,26
"If you hate earbugs, avoid this phone by all means.",0,if you hate earbugs avoid this phone by all means,Negative,49,10
Great price also!,1,great price also,Positive,16,3
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,the range is very decent ive been able to roam around my house with the phone in the living room with no receptionsound quality issues,Positive,134,25
fast service.,1,fast service,Positive,12,2
I would highly recommend this.,1,i would highly recommend this,Positive,29,5
I would recommend this.,1,i would recommend this,Positive,22,4
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,i also didnt like the on button it felt like it would crack with use,Negative,68,15
WORST PHONE EVER.,0,worst phone ever,Negative,16,3
I'm still infatuated with this phone.,1,im still infatuated with this phone,Positive,35,6
Freezes frequently4.,0,freezes frequently,Negative,18,2
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,its kind of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,Negative,112,20
"Simple, lightweight and great fit.",1,simple lightweight and great fit,Positive,32,5
"All in all, I'd expected a better consumer experience from Motorola.",0,all in all id expected a better consumer experience from motorola,Negative,65,11
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,theres a horrible tick sound in the background on all my calls that i have never experienced before,Negative,99,18
These are certainly very comfortable and functionality is decent.,1,these are certainly very comfortable and functionality is decent,Positive,64,9
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,i usually dont like headbands but this one is very lightweight doesnt mess up my hair,Positive,85,16
I'm a bit disappointed.,0,im a bit disappointed,Negative,21,4
"I have had this phone for over a year now, and I will tell you, its not that great.",0,i have had this phone for over a year now and i will tell you its not that great,Negative,80,19
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,i ordered this for sony ericsson wi but i think it only worked once thats when i first used it,Negative,94,20
The battery is completely useless to me.,0,the battery is completely useless to me,Negative,39,7
What a big waste of time.,0,what a big waste of time,Negative,24,6
Don't waste your $$$ on this one.,0,dont waste your on this one,Negative,27,6
Great sound and service.,1,great sound and service,Positive,23,4
Really pleased with this product so far.,1,really pleased with this product so far,Positive,39,7
One of my favorite purchases ever.,1,one of my favorite purchases ever,Positive,33,6
best bluetooth on the market.,1,best bluetooth on the market,Positive,28,5
Authentic leather with nice shine and comfort .I recommend you this case !!,1,authentic leather with nice shine and comfort i recommend you this case,Positive,71,12
I was very excited to get this headset because I thought it was really cute.,1,i was very excited to get this headset because i thought it was really cute,Positive,75,15
Do not make the same mistake as me.,0,do not make the same mistake as me,Negative,34,8
Big Disappointment with calendar sync.,0,big disappointment with calendar sync,Negative,37,5
the phone was unusable and was not new.,0,the phone was unusable and was not new,Negative,38,8
Worst Customer Service Ever.,0,worst customer service ever,Negative,27,4
"No additional ear gels provided, and no instructions whatsoever.",0,no additional ear gels provided and no instructions whatsoever,Negative,62,9
It defeats the purpose of a bluetooth headset.,0,it defeats the purpose of a bluetooth headset,Negative,45,8
Worth every penny.,1,worth every penny,Positive,17,3
Excellent wallet type phone case.,1,excellent wallet type phone case,Positive,32,5
Nice headphones for the price and they work great!,1,nice headphones for the price and they work great,Positive,49,9
Internet is excrutiatingly slow.,0,internet is excrutiatingly slow,Negative,31,4
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,it is very comfortable to wear as well which is probably the most important aspect about using a case,Positive,101,19
"It's fits like a glove and is strong, secure, and durable.",1,its fits like a glove and is strong secure and durable,Positive,54,11
O my gosh the best phone I have ever had.,1,o my gosh the best phone i have ever had,Positive,40,10
It's very attractive and appears to be of good quality.,1,its very attractive and appears to be of good quality,Positive,53,10
I love all the features and form factor.,1,i love all the features and form factor,Positive,39,8
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,this product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it,Negative,108,19
poor quality and service.,0,poor quality and service,Negative,24,4
"The cable looks so thin and flimsy, it is scary.",0,the cable looks so thin and flimsy it is scary,Negative,46,10
Great Earpiece.,1,great earpiece,Positive,14,2
Excellent hands free tool.,1,excellent hands free tool,Positive,25,4
Great for using with your home stereo.,1,great for using with your home stereo,Positive,37,7
Good product - incredible value.,1,good product incredible value,Positive,29,4
Only had this a month but it's worked flawlessly so far.,1,only had this a month but its worked flawlessly so far,Positive,54,11
Works great.,1,works great,Positive,11,2
Absolutel junk.,0,absolutel junk,Negative,14,2
THAT one didn't work either.,0,that one didnt work either,Negative,26,5
Battery life is real good.,1,battery life is real good,Positive,25,5
Returned 8 hours later.,0,returned hours later,Negative,20,3
It's a great item.,1,its a great item,Positive,16,4
Don't waste your money!.,0,dont waste your money,Negative,21,4
Love this headset!,1,love this headset,Positive,17,3
"Not only will it drain your player, but may also potentially fry it.",0,not only will it drain your player but may also potentially fry it,Negative,66,13
Worked perfectly!,1,worked perfectly,Positive,16,2
Unreliable - I'm giving up.,0,unreliable im giving up,Negative,23,4
I gave it 5 stars because of the sound quality.,1,i gave it stars because of the sound quality,Positive,44,9
Avoid this one if you can.,0,avoid this one if you can,Negative,25,6
Reversible plug works great.,1,reversible plug works great,Positive,27,4
I wasted my little money with this earpiece.,0,i wasted my little money with this earpiece,Negative,43,8
Very good phone.,1,very good phone,Positive,15,3
"Best of all is the rotating feature, very helpful.",1,best of all is the rotating feature very helpful,Positive,48,9
Comfort for our whole family.,1,comfort for our whole family,Positive,28,5
"Good product, good seller.",1,good product good seller,Positive,24,4
I love this bluetooth!,1,i love this bluetooth,Positive,21,4
"First of all, it doesn't wear well.",0,first of all it doesnt wear well,Negative,32,7
I am very impressed with this headset from Plantronics.,1,i am very impressed with this headset from plantronics,Positive,54,9
I got it because it was so small and adorable.,1,i got it because it was so small and adorable,Positive,45,10
I wouldn't recommend buying this product.,0,i wouldnt recommend buying this product,Negative,39,6
Piece of Junk.,0,piece of junk,Negative,13,3
Poorly contstruct hinge.,0,poorly contstruct hinge,Negative,23,3
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,this item is great installed it let it charged up overnite and it has been working good every since with no problems,Positive,116,22
Great Phone.,1,great phone,Positive,11,2
Don't buy it.,0,dont buy it,Negative,11,3
Excellent Phone.,1,excellent phone,Positive,15,2
DO NOT PURCHASE THIS PHONE.,0,do not purchase this phone,Negative,26,5
The voice recognition thru the handset is excellent.,1,the voice recognition thru the handset is excellent,Positive,51,8
This is hands down the best phone I've ever had.,1,this is hands down the best phone ive ever had,Positive,46,10
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,Positive,109,18
This one works and was priced right.,1,this one works and was priced right,Positive,35,7
Customer service was terrible.,0,customer service was terrible,Negative,29,4
Battery life still not long enough in Motorola Razor V3i.,0,battery life still not long enough in motorola razor vi,Negative,55,10
Sending it back.,0,sending it back,Negative,15,3
Now I know that I made a wise decision.,1,now i know that i made a wise decision,Positive,38,9
Someone shouldve invented this sooner.,1,someone shouldve invented this sooner,Positive,37,5
Good price.,1,good price,Positive,10,2
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,everything worked on the first trythe device was certainly engineered in a clever way and the construction feels good,Positive,117,19
I received it quickly and it works great!!,1,i received it quickly and it works great,Positive,40,8
Has been working great.,1,has been working great,Positive,22,4
"As many people complained, I found this headset's microphone was very weak.",0,as many people complained i found this headsets microphone was very weak,Negative,72,12
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,my year old nokia from tracfone holds the charge a lot better than this,Negative,71,14
They do not care about the consumer one bit.,0,they do not care about the consumer one bit,Negative,43,9
"This is a good battery, and it got here really fast.",1,this is a good battery and it got here really fast,Positive,50,11
The instruction manual is lacking.,0,the instruction manual is lacking,Negative,33,5
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,also its slim enough to fit into my alarm clock docking station without removing the case,Positive,89,16
Phone now holds charge like it did when it was new.,1,phone now holds charge like it did when it was new,Positive,50,11
The battery is unreliable as well as the service use antena.,0,the battery is unreliable as well as the service use antena,Negative,59,11
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,its uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg,Negative,140,25
We have gotten a lot of compliments on it.,1,we have gotten a lot of compliments on it,Positive,41,9
